,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
34,"                                1,292,265                            ",                                0.15%                            ,                                ZHEJIANG GUYUELONGSHAN SHAOXING WINE CO.LTD (A #600059)                            ,                                90059                            
35,"                                4,046,531                            ",                                0.30%                            ,"                                HISENSE ELECTRIC CO.,LTD. (A #600060)                            ",                                90060                            
36,"                                1,615,297                            ",                                0.08%                            ,"                                SDIC ESSENCE (HOLDINGS) CO.,LTD (A #600061)                            ",                                90061                            
37,"                                3,278,530                            ",                                0.57%                            ,"                                CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD. (A #600062)                            ",                                90062                            
38,"                                1,885,772                            ",                                0.12%                            ,                                ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED (A #600063)                            ,                                90063                            
39,"                                920,437                            ",                                0.11%                            ,                                NANJING GAOKE COMPANY LIMITED (A #600064)                            ,                                90064                            
40,"                                244,112,129                            ",                                12.82%                            ,"                                ZHENGZHOU YUTONG BUS CO.,LTD. (A #600066)                            ",                                90066                            
41,"                                1,237,883                            ",                                0.08%                            ,"                                CITYCHAMP DARTONG CO.,LTD. (A #600067)                            ",                                90067                            
42,"                                21,448,635                            ",                                0.46%                            ,                                CHINA GEZHOUBA GROUP COMPANY LIMITED (A #600068)                            ,                                90068                            
43,"                                1,354,410                            ",                                0.14%                            ,                                SHANGHAI MALING AQUARIUS CO.LTD (A #600073)                            ,                                90073                            
44,"                                2,136,350                            ",                                0.23%                            ,"                                JIANGSU PROTRULY VISION TECHNOLOGY GROUP CO.,LTD. (A #600074)                            ",                                90074                            
45,"                                106,830                            ",                                0.01%                            ,"                                XINJIANG TIANYE CO.,LTD. (A #600075)                            ",                                90075                            
46,"                                452,716                            ",                                0.03%                            ,"                                SUNDY LAND INVESTMENT CO.,LTD. (A #600077)                            ",                                90077                            
47,"                                7,423                            ",                                0.00%                            ,"                                JIANGSU CHENGXING PHOSPH-CHEMICAL CO.,LTD (A #600078)                            ",                                90078                            
48,"                                14,448,428                            ",                                1.36%                            ,"                                HUMANWELL HEALTHCARE (GROUP) CO.,LTD. (A #600079)                            ",                                90079                            
49,"                                19,278                            ",                                0.00%                            ,                                GINWA ENTERPRISE(GRPUP) INC. (A #600080)                            ,                                90080                            
50,"                                805,352                            ",                                0.25%                            ,"                                DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD. (A #600081)                            ",                                90081                            
51,"                                4,293,571                            ",                                0.31%                            ,"                                BEIJING TONGRENTANG CO.,LTD (A #600085)                            ",                                90085                            
52,"                                71,238                            ",                                0.00%                            ,                                EASTERN GOLD JADE COMPANY LIMITED (A #600086)                            ,                                90086                            
53,"                                202,239                            ",                                0.06%                            ,"                                CHINA TELEVISION MEDIA,LTD. (A #600088)                            ",                                90088                            
54,"                                29,519,292                            ",                                0.80%                            ,"                                TBEA CO.,LTD. (A #600089)                            ",                                90089                            
55,"                                193,216                            ",                                0.05%                            ,"                                EASYSIGHT SUPPLY CHAIN MANAGEMENT CO., LTD. (A #600093)                            ",                                90093                            
56,"                                3,332,243                            ",                                0.18%                            ,                                GREATTOWN HOLDINGS LTD. (A #600094)                            ,                                90094                            
57,"                                206,761                            ",                                0.01%                            ,"                                YUNNAN YUNTIANHUA CO.,LTD (A #600096)                            ",                                90096                            
58,"                                1,681,876                            ",                                0.06%                            ,                                GUANGZHOU DEVELOPMENT GROUP INCORPORATED (A #600098)                            ,                                90098                            
59,"                                6,395,822                            ",                                0.29%                            ,"                                TSINGHUA TONGFANG CO., LTD (A #600100)                            ",                                90100                            
60,"                                612,585                            ",                                0.18%                            ,"                                SICHUAN MINGXING ELECTRIC POWER CO.,LTD (A #600101)                            ",                                90101                            
61,"                                206,038,664                            ",                                1.86%                            ,                                SAIC MOTOR CORPORATION LIMITED (A #600104)                            ,                                90104                            
62,"                                298,180                            ",                                0.03%                            ,"                                JIANGSU ETERN CO., LTD. (A #600105)                            ",                                90105                            
63,"                                1,398,955                            ",                                0.14%                            ,"                                CHONGQING ROAD & BRIDGE CO.,LTD (A #600106)                            ",                                90106                            
64,"                                2,287,956                            ",                                0.11%                            ,"                                GANSU YASHENG INDUSTRIAL (GROUP) CO.,LTD (A #600108)                            ",                                90108                            
65,"                                18,798,671                            ",                                0.62%                            ,"                                SINOLINK SECURITIES CO., LTD. (A #600109)                            ",                                90109                            
66,"                                15,620                            ",                                0.00%                            ,"                                NUODE INVESTMENT CO., LTD. (A #600110)                            ",                                90110                            
67,"                                9,150,870                            ",                                0.25%                            ,"                                CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH CO., LTD (A #600111)                            ",                                90111                            
68,"                                1,104,383                            ",                                0.21%                            ,"                                GUIZHOU CHANGZHENG TIANCHENG HOLDING CO.,LTD. (A #600112)                            ",                                90112                            
69,"                                18,987                            ",                                0.00%                            ,"                                ZHEJIANG DONG RI CO., LTD (A #600113)                            ",                                90113                            
70,"                                1,732,476                            ",                                0.45%                            ,"                                NBTM NEW MATERIALS GROUP CO., LTD. (A #600114)                            ",                                90114                            
71,"                                10,086,691                            ",                                0.10%                            ,                                CHINA EASTERN AIRLINES CORPORATION LIMITED (A #600115)                            ,                                90115                            
72,"                                935,628                            ",                                0.10%                            ,                                CHONGQING THREE GORGES WATERCONSERVANCY & ELECTRIC POWER CO LTD (A #600116)                            ,                                90116                            
73,"                                2,699,621                            ",                                0.22%                            ,"                                CHINA SPACESAT CO.,LTD. (A #600118)                            ",                                90118                            
74,"                                924,906                            ",                                0.30%                            ,"                                Y.U.D YANGTZE RIVER INVESTMENT INDUSTRY CO.,LTD. (A #600119)                            ",                                90119                            
75,"                                456,474                            ",                                0.09%                            ,"                                ZHEJIANG ORIENT HOLDINGS CO.,LTD. (A #600120)                            ",                                90120                            
76,                                400                            ,                                0.00%                            ,"                                ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD. (A #600121)                            ",                                90121                            
77,"                                2,460,642                            ",                                0.21%                            ,"                                JIANGSU HONGTU HIGH TECHNOLOGY CO.,LTD. (A #600122)                            ",                                90122                            
78,"                                3,419,795                            ",                                0.29%                            ,"                                SHANXI LANHUA SCI-TECH VENTURE CO.,LTD (A #600123)                            ",                                90123                            
79,"                                22,525,109                            ",                                1.72%                            ,"                                CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD (A #600125)                            ",                                90125                            
80,"                                164,399                            ",                                0.03%                            ,                                CHONG QING BREWERY CO.LTD (A #600132)                            ,                                90132                            
81,"                                328,823                            ",                                0.08%                            ,"                                LUCKY FILM COMPANY,LIMITED (A #600135)                            ",                                90135                            
82,"                                25,035,724                            ",                                3.45%                            ,"                                CHINA CYTS TOURS HOLDING CO.,LTD. (A #600138)                            ",                                90138                            
83,"                                925,722                            ",                                0.19%                            ,"                                HUBEI XINGFA CHEMICALS GROUP CO.,LTD. (A #600141)                            ",                                90141                            
84,"                                7,461,542                            ",                                0.29%                            ,"                                KINGFA SCI.&TECH.; CO.,LTD. (A #600143)                            ",                                90143                            
85,"                                4,894,784                            ",                                0.35%                            ,                                CHINA CSSC HOLDINGS LIMITED (A #600150)                            ,                                90150                            
86,"                                4,121,937                            ",                                0.14%                            ,                                XIAMEN C&D; INC. (A #600153)                            ,                                90153                            
87,"                                18,524,050                            ",                                0.31%                            ,"                                WINTIME ENERGY CO.,LTD. (A #600157)                            ",                                90157                            
88,"                                1,553,323                            ",                                0.23%                            ,"                                CHINA SPORTS INDUSTRY GROUP CO., LTD. (A #600158)                            ",                                90158                            
89,"                                6,847,904                            ",                                0.37%                            ,"                                ZHEJIANG JUHUA CO.,LTD. (A #600160)                            ",                                90160                            
90,"                                565,578                            ",                                0.08%                            ,                                BEIJING TIANTAN BIOLOGICAL PRODUCTS CORPORATION LIMITED (A #600161)                            ,                                90161                            
91,"                                5,967,221                            ",                                0.33%                            ,"                                SHENZHEN HEUNGKONG HOLDING CO., LTD (A #600162)                            ",                                90162                            
92,"                                9,509,140                            ",                                0.14%                            ,"                                BEIQI FOTON MOTOR CO.,LTD. (A #600166)                            ",                                90166                            
93,"                                517,941                            ",                                0.24%                            ,"                                LUENMEI QUANTUM CO.,LTD (A #600167)                            ",                                90167                            
94,"                                510,837                            ",                                0.07%                            ,"                                WUHAN SANZHEN INDUSTRY HOLDING CO.,LTD (A #600168)                            ",                                90168                            
95,"                                2,854,116                            ",                                0.11%                            ,"                                TAIYUAN HEAVY INDUSTRY CO.,LTD. (A #600169)                            ",                                90169                            
96,"                                11,905,334                            ",                                0.14%                            ,"                                SHANGHAI CONSTRUCTION GROUP CO., LTD (A #600170)                            ",                                90170                            
97,"                                2,556,755                            ",                                0.37%                            ,"                                SHANGHAI BELLING CO.,LTD. (A #600171)                            ",                                90171                            
98,"                                4,435,776                            ",                                0.38%                            ,"                                HENAN HUANGHE WHIRLWIND CO.,LTD. (A #600172)                            ",                                90172                            
99,"                                971,374                            ",                                0.13%                            ,"                                WOLONG REAL ESTATE GROUP CO.,LTD. (A #600173)                            ",                                90173                            
100,"                                3,650,501                            ",                                0.25%                            ,                                MEIDU ENERGY CORPORATION (A #600175)                            ,                                90175                            
101,"                                50,845,708                            ",                                1.74%                            ,"                                CHINA JUSHI CO., LTD. (A #600176)                            ",                                90176                            
102,"                                13,725,000                            ",                                0.38%                            ,"                                YOUNGOR GROUP CO.,LTD. (A #600177)                            ",                                90177                            
103,"                                4,020,589                            ",                                0.45%                            ,"                                CCS SUPPLY CHAIN MANAGEMENT CO., LTD. (A #600180)                            ",                                90180                            
104,"                                5,769,922                            ",                                0.39%                            ,"                                SHENGYI TECHNOLOGY CO., LTD. (A #600183)                            ",                                90183                            
105,"                                2,841,458                            ",                                0.17%                            ,"                                GREE REAL ESTATE CO.,LTD (A #600185)                            ",                                90185                            
106,"                                5,698,759                            ",                                0.19%                            ,                                YANZHOU COAL MINING COMPANY LIMITED (A #600188)                            ,                                90188                            
107,"                                1,325,924                            ",                                0.07%                            ,"                                JINZHOU PORT CO.,LTD. (A #600190)                            ",                                90190                            
108,"                                921,455                            ",                                0.21%                            ,"                                CHINA ANIMAL HUSBANDRY INDUSTRY CO.,LTD. (A #600195)                            ",                                90195                            
109,"                                22,134,274                            ",                                1.15%                            ,"                                SHANGHAI FOSUN PHARMACEUTICAL (GROUP) CO., LTD. (A #600196)                            ",                                90196                            
110,"                                3,544,185                            ",                                0.80%                            ,"                                XINJIANG YILITE INDUSTRY CO.,LTD (A #600197)                            ",                                90197                            
111,"                                1,220,406                            ",                                0.18%                            ,"                                JIANGSU WUZHONG INDUSTRIAL CO.,LTD. (A #600200)                            ",                                90200                            
112,"                                3,108,904                            ",                                0.54%                            ,"                                INNER MONGOLIA JINYU GROUP CO., LTD (A #600201)                            ",                                90201                            
113,"                                1,114,878                            ",                                0.13%                            ,"                                GRINM ADVANCED MATERIALS CO.,LTD. (A #600206)                            ",                                90206                            
114,"                                17,426,701                            ",                                0.20%                            ,"                                XINHU ZHONGBAO CO.,LTD (A #600208)                            ",                                90208                            
115,"                                2,617,122                            ",                                0.18%                            ,"                                SHANGHAI ZIJIANG ENTERPRISE GROUP CO.,LTD (A #600210)                            ",                                90210                            
116,"                                787,264                            ",                                0.08%                            ,"                                ZHEJIANG MEDICINE CO.,LTD (A #600216)                            ",                                90216                            
117,                                176                            ,                                0.00%                            ,"                                ANHUI QUANCHAI ENGINE CO.,LTD. (A #600218)                            ",                                90218                            
118,"                                63,492,524                            ",                                0.89%                            ,"                                SHANDONG NANSHAN ALUMINIUM CO., LTD (A #600219)                            ",                                90219                            
119,"                                23,052,149                            ",                                0.19%                            ,"                                HAINAN AIRLINES HOLDING CO., LTD. (A #600221)                            ",                                90221                            
120,"                                363,374                            ",                                0.03%                            ,"                                ZHEJIANG HUGE LEAF CO.,LTD. (A #600226)                            ",                                90226                            
121,                                101                            ,                                0.00%                            ,                                CANGZHOU DAHUA CO.LTD (A #600230)                            ,                                90230                            
122,"                                852,115                            ",                                0.25%                            ,"                                YTO EXPRESS GROUP CO.,LTD. (A #600233)                            ",                                90233                            
123,"                                2,811,418                            ",                                0.07%                            ,"                                GUANGXI GUIGUAN ELECTRIC POWER CO.,LTD. (A #600236)                            ",                                90236                            
124,"                                12,700                            ",                                0.00%                            ,"                                HAINAN YEDAO (GROUP) CO.,LTD (A #600238)                            ",                                90238                            
125,"                                11,380,476                            ",                                0.70%                            ,"                                YUNNAN METROPOLITAN REAL ESTATE DEVELOPMENT CO.,LTD (A #600239)                            ",                                90239                            
126,"                                3,702,240                            ",                                0.25%                            ,"                                BEIJING HOMYEAR CAPITAL HOLDINGS CO.,LTD (A #600240)                            ",                                90240                            
127,"                                3,300                            ",                                0.00%                            ,"                                BEIJING VANTONE REAL ESTATE CO.,LTD. (A #600246)                            ",                                90246                            
128,"                                4,471                            ",                                0.00%                            ,"                                SHAANXI YANCHANG PETROLEUM CHEMICAL ENGINEERING CO.,LTD. (A #600248)                            ",                                90248                            
129,"                                2,967,451                            ",                                0.37%                            ,"                                XINGJIANG GUANNONG FRUIT & ANTLER GROUP CO., LTD. (A #600251)                            ",                                90251                            
130,"                                14,604,620                            ",                                0.42%                            ,"                                GUANGXI WUZHOU ZHONGHENG GROUP CO.,LTD. (A #600252)                            ",                                90252                            
131,"                                3,973,070                            ",                                0.22%                            ,"                                AHHUI XINKE NEW MATERIALS CO.,LTD. (A #600255)                            ",                                90255                            
132,"                                6,139,584                            ",                                0.11%                            ,"                                GUANGHUI ENERGY CO.,LTD. (A #600256)                            ",                                90256                            
133,"                                586,567                            ",                                0.13%                            ,"                                DAHU AQUACULTURE CO.,LTD. (A #600257)                            ",                                90257                            
134,"                                3,360                            ",                                0.00%                            ,"                                BTG HOTELS(GROUP)CO., LTD (A #600258)                            ",                                90258                            
135,"                                310,206                            ",                                0.12%                            ,"                                RISING NONFERROUS METALS SHARE CO., LTD. (A #600259)                            ",                                90259                            
136,"                                2,695,880                            ",                                0.49%                            ,"                                HUBEI KAILE SCIENCE AND TECHNOLOGY CO.,LTD (A #600260)                            ",                                90260                            
137,"                                7,321,344                            ",                                0.50%                            ,"                                ZHEJIANG YANKON GROUP CO.,LTD. (A #600261)                            ",                                90261                            
138,"                                5,263,916                            ",                                0.34%                            ,"                                BEIJING URBAN CONSTRUCTION INVESTMENT& DEVELOPMENT CO.,LTD. (A #600266)                            ",                                90266                            
139,"                                1,982,986                            ",                                0.20%                            ,"                                ZHEJIANG HISUN PHARMACEUTICAL CO.,LTD (A #600267)                            ",                                90267                            
140,"                                91,401                            ",                                0.01%                            ,"                                GUODIAN NANJING AUTOMATION CO.,LTD. (A #600268)                            ",                                90268                            
141,"                                28,353,396                            ",                                1.21%                            ,"                                JIANGXI GANYUE EXPRESSWAY CO.,LTD. (A #600269)                            ",                                90269                            
