,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
33,"                                358,816,000                            ",                                9.79%                            ,"                                POLY PROPERTY GROUP CO., LIMITED                            ",                                  119                            
34,"                                384,890,000                            ",                                3.10%                            ,                                YUEXIU PROPERTY COMPANY LIMITED                            ,                                  123                            
35,"                                38,352,000                            ",                                0.47%                            ,                                KUNLUN ENERGY COMPANY LIMITED                            ,                                  135                            
36,"                                4,226,672,000                            ",                                5.66%                            ,                                HENGTEN NETWORKS GROUP LIMITED                            ,                                  136                            
37,"                                1,146,000                            ",                                0.02%                            ,                                FIRST PACIFIC CO. LTD.                            ,                                  142                            
38,"                                8,576,789                            ",                                0.26%                            ,                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED                            ,                                  144                            
39,"                                14,486,551                            ",                                1.35%                            ,                                KINGBOARD CHEMICAL HOLDINGS LIMITED                            ,                                  148                            
40,"                                48,269,446                            ",                                0.38%                            ,                                WANT WANT CHINA HOLDINGS LIMITED                            ,                                  151                            
41,"                                38,756,224                            ",                                1.91%                            ,                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED                            ,                                  152                            
42,"                                3,914,000                            ",                                0.10%                            ,                                EMPEROR INTERNATIONAL HOLDINGS LIMITED                            ,                                  163                            
43,"                                102,130,068                            ",                                6.05%                            ,                                CHINA EVERBRIGHT LIMITED                            ,                                  165                            
44,"                                58,982,100                            ",                                8.99%                            ,                                TSINGTAO BREWERY COMPANY LIMITED                            ,                                  168                            
45,"                                42,874,527                            ",                                1.40%                            ,                                K. WAH INTERNATIONAL HOLDINGS LIMITED                            ,                                  173                            
46,"                                786,990,358                            ",                                8.76%                            ,                                GEELY AUTOMOBILE HOLDINGS LIMITED                            ,                                  175                            
47,"                                6,650,000                            ",                                0.54%                            ,                                JIANGSU EXPRESSWAY COMPANY LIMITED                            ,                                  177                            
48,"                                15,177,748                            ",                                0.50%                            ,                                SA SA INTERNATIONAL HOLDINGS LIMITED                            ,                                  178                            
49,"                                381,000                            ",                                0.03%                            ,                                JOHNSON ELECTRIC HOLDINGS LIMITED                            ,                                  179                            
50,"                                20,874,000                            ",                                20.87%                            ,                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED                            ,                                  187                            
51,"                                102,106,400                            ",                                3.75%                            ,                                SMI HOLDINGS GROUP LIMITED                            ,                                  198                            
52,"                                23,526,000                            ",                                1.52%                            ,                                MELCO INTERNATIONAL DEVELOPMENT LIMITED                            ,                                  200                            
53,"                                23,696,000                            ",                                0.16%                            ,                                JOY CITY PROPERTY LIMITED                            ,                                  207                            
54,"                                74,088,000                            ",                                1.52%                            ,                                HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED                            ,                                  215                            
55,"                                53,033,489                            ",                                1.22%                            ,                                UNI-PRESIDENT CHINA HOLDINGS LTD.                            ,                                  220                            
56,"                                260,222,000                            ",                                2.76%                            ,                                ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED                            ,                                  241                            
57,"                                240,144,000                            ",                                7.88%                            ,                                SHUN TAK HOLDINGS LIMITED                            ,                                  242                            
58,"                                48,040,000                            ",                                0.15%                            ,                                CHINA MINSHENG FINANCIAL HOLDING CORPORATION LIMITED                            ,                                  245                            
59,"                                244,844,000                            ",                                5.62%                            ,                                CITYCHAMP WATCH & JEWELLERY GROUP LIMITED                            ,                                  256                            
60,"                                137,254,827                            ",                                3.06%                            ,                                CHINA EVERBRIGHT INTERNATIONAL LIMITED                            ,                                  257                            
61,"                                26,781,533                            ",                                0.08%                            ,                                CITIC LIMITED                            ,                                  267                            
62,"                                215,113,205                            ",                                7.41%                            ,                                KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED                            ,                                  268                            
63,"                                13,333,077                            ",                                0.20%                            ,                                GUANGDONG INVESTMENT LIMITED                            ,                                  270                            
64,"                                580,253,096                            ",                                7.19%                            ,                                SHUI ON LAND LIMITED                            ,                                  272                            
65,"                                113,860,000                            ",                                0.72%                            ,                                FREEMAN FINTECH CORPORATION LIMITED                            ,                                  279                            
66,"                                122,206,000                            ",                                5.41%                            ,                                BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED                            ,                                  285                            
67,"                                122,746,000                            ",                                0.83%                            ,                                WH GROUP LIMITED                            ,                                  288                            
68,"                                96,713,333                            ",                                2.98%                            ,                                CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED                            ,                                  291                            
69,"                                9,549,000                            ",                                0.23%                            ,                                CATHAY PACIFIC AIRWAYS LTD                            ,                                  293                            
70,"                                29,875,000                            ",                                0.19%                            ,                                KONG SUN HOLDINGS LIMITED                            ,                                  295                            
71,"                                370,606,000                            ",                                5.27%                            ,                                SINOFERT HOLDINGS LIMITED                            ,                                  297                            
72,"                                15,684,000                            ",                                11.13%                            ,                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED                            ,                                  300                            
73,"                                488,800                            ",                                0.18%                            ,                                VTECH HOLDINGS LIMITED                            ,                                  303                            
74,"                                151,664,200                            ",                                2.78%                            ,                                CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED                            ,                                  308                            
75,"                                3,225,534                            ",                                0.28%                            ,                                SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED                            ,                                  315                            
76,"                                9,017,500                            ",                                1.43%                            ,                                ORIENT OVERSEAS (INTERNATIONAL) LIMITED                            ,                                  316                            
77,"                                13,564,200                            ",                                2.28%                            ,                                CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED                            ,                                  317                            
78,"                                1,368,000                            ",                                0.09%                            ,                                TEXWINCA HOLDINGS LIMITED                            ,                                  321                            
79,"                                5,790,000                            ",                                0.09%                            ,                                TINGYI (CAYMAN ISLANDS) HOLDING CORP.                            ,                                  322                            
80,"                                88,866,000                            ",                                5.11%                            ,                                MAANSHAN IRON & STEEL COMPANY LIMITED                            ,                                  323                            
81,"                                16,974,000                            ",                                1.53%                            ,                                PAX GLOBAL TECHNOLOGY LIMITED                            ,                                  327                            
82,"                                71,125,500                            ",                                3.71%                            ,                                ESPRIT HOLDINGS LIMITED                            ,                                  330                            
83,"                                189,643,100                            ",                                6.10%                            ,                                HUABAO INTERNATIONAL HOLDINGS LIMITED                            ,                                  336                            
84,"                                83,595,000                            ",                                2.99%                            ,                                GREENLAND HONG KONG HOLDINGS LIMITED                            ,                                  337                            
85,"                                93,111,744                            ",                                2.65%                            ,                                SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED                            ,                                  338                            
86,"                                70,000                            ",                                0.00%                            ,                                CAFE DE CORAL HOLDINGS LTD                            ,                                  341                            
87,"                                3,600,000                            ",                                0.34%                            ,                                VITASOY INTERNATIONAL HOLDINGS LTD                            ,                                  345                            
88,"                                7,832,076                            ",                                0.72%                            ,                                ANGANG STEEL COMPANY LIMITED                            ,                                  347                            
89,"                                268,170,423                            ",                                11.16%                            ,                                CHINASOFT INTERNATIONAL LIMITED                            ,                                  354                            
90,"                                64,007,362                            ",                                4.60%                            ,                                JIANGXI COPPER COMPANY LIMITED                            ,                                  358                            
91,"                                17,150,000                            ",                                1.57%                            ,                                SHANGHAI INDUSTRIAL HOLDINGS LIMITED                            ,                                  363                            
92,"                                85,381,667                            ",                                2.13%                            ,                                SINOTRANS SHIPPING LIMITED                            ,                                  368                            
93,"                                317,802,259                            ",                                3.61%                            ,                                BEIJING ENTERPRISES WATER GROUP LIMITED                            ,                                  371                            
94,"                                11,920,000                            ",                                0.17%                            ,                                FDG KINETIC LIMITED                            ,                                  378                            
95,"                                17,813,504                            ",                                0.35%                            ,                                CHINA GAS HOLDINGS LIMITED                            ,                                  384                            
96,"                                368,836,672                            ",                                1.44%                            ,                                CHINA PETROLEUM & CHEMICAL CORPORATION                            ,                                  386                            
97,"                                12,320,148                            ",                                0.98%                            ,                                HONG KONG EXCHANGES AND CLEARING LIMITED                            ,                                  388                            
98,"                                256,204,299                            ",                                6.08%                            ,                                CHINA RAILWAY GROUP LIMITED                            ,                                  390                            
99,"                                77,217,929                            ",                                6.11%                            ,                                BEIJING ENTERPRISES HOLDINGS LIMITED                            ,                                  392                            
100,"                                41,764,000                            ",                                2.82%                            ,                                COGOBUY GROUP                            ,                                  400                            
101,"                                225,295,000                            ",                                4.33%                            ,                                SOHO CHINA LIMITED                            ,                                  410                            
102,"                                39,024,000                            ",                                0.15%                            ,                                CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED                            ,                                  412                            
103,"                                239,000,000                            ",                                1.77%                            ,                                HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED                            ,                                  419                            
104,"                                79,555,000                            ","
",                                MINTH GROUP LIMITED                            ,                                  425                            
105,"                                176,971,000                            ",                                2.89%                            ,                                KUANGCHI SCIENCE LIMITED                            ,                                  439                            
106,"                                968,000                            ",                                0.28%                            ,                                DAH SING FINANCIAL HOLDINGS LTD                            ,                                  440                            
107,"                                146,750,000                            ",                                0.76%                            ,                                GCL NEW ENERGY HOLDINGS LIMITED                            ,                                  451                            
108,"                                335,480,000                            ",                                3.53%                            ,                                SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.                            ,                                  460                            
109,"                                22,146,000                            ",                                0.08%                            ,                                UNITED ENERGY GROUP LIMITED                            ,                                  467                            
110,"                                578,000                            ",                                0.04%                            ,                                GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED                            ,                                  468                            
111,"                                455,200                            ",                                0.03%                            ,                                HKR INTERNATIONAL LTD                            ,                                  480                            
112,"                                15,900                            ",                                0.00%                            ,                                LAI SUN DEVELOPMENT COMPANY LIMITED-NEW                            ,                                  488                            
113,"                                110,458,000                            ",                                3.86%                            ,                                DONGFENG MOTOR GROUP COMPANY LIMITED                            ,                                  489                            
114,"                                1,916,788,000                            ",                                8.88%                            ,                                GOME RETAIL HOLDINGS LIMITED                            ,                                  493                            
115,"                                15,748,000                            ",                                0.17%                            ,                                LI & FUNG LIMITED                            ,                                  494                            
116,"                                220,152,100                            ",                                7.86%                            ,                                CHINA FOODS LIMITED                            ,                                  506                            
117,"                                1,039,800                            ",                                0.23%                            ,                                TELEVISION BROADCASTS LTD                            ,                                  511                            
118,"                                13,292,349                            ",                                3.25%                            ,                                ASM PACIFIC TECHNOLOGY LIMITED                            ,                                  522                            
119,"                                185,272,010                            ",                                12.94%                            ,                                GUANGSHEN RAILWAY COMPANY LIMITED                            ,                                  525                            
120,"                                9,376,000                            ",                                0.13%                            ,                                GOLDIN FINANCIAL HOLDINGS LIMITED                            ,                                  530                            
121,"                                242,244,000                            ",                                1.52%                            ,                                GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED                            ,                                  535                            
122,"                                103,650,000                            ",                                4.06%                            ,                                FUFENG GROUP LIMITED                            ,                                  546                            
123,"                                758,140,000                            ",                                3.11%                            ,                                DIGITAL DOMAIN HOLDINGS LIMITED                            ,                                  547                            
124,"                                112,252,000                            ",                                15.01%                            ,                                SHENZHEN EXPRESSWAY COMPANY LIMITED                            ,                                  548                            
125,"                                536,500                            ",                                0.02%                            ,                                YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED                            ,                                  551                            
126,"                                24,214,000                            ",                                1.01%                            ,                                CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED                            ,                                  552                            
127,"                                72,426,000                            ",                                29.92%                            ,                                NANJING PANDA ELECTRONICS COMPANY LIMITED                            ,                                  553                            
128,"                                20,874,000                            ",                                0.43%                            ,                                SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED                            ,                                  563                            
129,"                                51,758,700                            ",                                21.27%                            ,                                ZHENGZHOU COAL MINING MACHINERY GROUP COMPANY LIMITED                            ,                                  564                            
130,"                                658,879,000                            ",                                1.57%                            ,                                HANERGY THIN FILM POWER GROUP LIMITED                            ,                                  566                            
131,"                                10,476,400                            ",                                4.09%                            ,                                SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED                            ,                                  568                            
132,"                                276,900,000                            ",                                6.24%                            ,                                CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED                            ,                                  570                            
133,"                                16,486,839                            ",                                1.14%                            ,"                                ZHEJIANG EXPRESSWAY CO., LTD.                            ",                                  576                            
134,"                                212,064,000                            ",                                8.99%                            ,"                                BEIJING JINGNENG CLEAN ENERGY CO., LIMITED                            ",                                  579                            
135,"                                60,850,000                            ",                                1.72%                            ,                                CHINA ORIENTAL GROUP COMPANY LIMITED                            ,                                  581                            
136,"                                35,368,900                            ",                                1.95%                            ,                                CHINA CONCH VENTURE HOLDINGS LIMITED                            ,                                  586                            
137,"                                120,220,000                            ",                                17.00%                            ,                                BEIJING NORTH STAR COMPANY LIMITED                            ,                                  588                            
138,"                                566,000                            ",                                0.08%                            ,                                LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED                            ,                                  590                            
139,"                                67,612,000                            ",                                3.15%                            ,                                SINOTRANS LIMITED                            ,                                  598                            
140,"                                314,586,238                            ",                                3.94%                            ,                                SHENZHEN INVESTMENT LIMITED                            ,                                  604                            
141,"                                252,374,597                            ",                                4.80%                            ,                                CHINA AGRI-INDUSTRIES HOLDINGS LIMITED                            ,                                  606                            
142,"                                4,079,052,500                            ",                                20.67%                            ,                                FULLSHARE HOLDINGS LIMITED                            ,                                  607                            
143,"                                845,500                            ",                                0.04%                            ,                                KERRY LOGISTICS NETWORK LIMITED                            ,                                  636                            
144,"                                213,968,000                            ",                                4.02%                            ,                                SHOUGANG FUSHAN RESOURCES GROUP LIMITED                            ,                                  639                            
145,"                                457,241,923                            ",                                5.32%                            ,                                FOSUN INTERNATIONAL LIMITED                            ,                                  656                            
146,"                                186,120,000                            ",                                11.37%                            ,"                                CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.                            ",                                  658                            
147,"                                988,731                            ",                                0.01%                            ,                                NWS HOLDINGS LIMITED                            ,                                  659                            
148,"                                298,532,225                            ",                                5.50%                            ,                                HAITONG INTERNATIONAL SECURITIES GROUP LIMITED                            ,                                  665                            
149,"                                1,001,850                            ",                                0.05%                            ,                                TECHTRONIC INDUSTRIES CO. LTD.                            ,                                  669                            
150,"                                408,462,000                            ",                                8.75%                            ,                                CHINA EASTERN AIRLINES CORPORATION LIMITED                            ,                                  670                            
151,"                                1,623,700,000                            ",                                2.35%                            ,                                NAN HAI CORPORATION LIMITED                            ,                                  680                            
152,"                                3,017,500                            ",                                0.20%                            ,                                KERRY PROPERTIES LIMITED                            ,                                  683                            
153,"                                37,860,000                            ",                                0.39%                            ,                                PANDA GREEN ENERGY GROUP LIMITED                            ,                                  686                            
154,"                                1,164,000                            ",                                0.03%                            ,"                                HONG KONG INTERNATIONAL CONSTRUCTION INVESTMENT MANAGEMENT GROUP CO., LIMITED                            ",                                  687                            
155,"                                186,029,379                            ",                                1.69%                            ,                                CHINA OVERSEAS LAND & INVESTMENT LIMITED                            ,                                  688                            
156,"                                1,695,000                            ",                                0.05%                            ,                                CHINA SHANSHUI CEMENT GROUP LIMITED                            ,                                  691                            
157,"                                29,024,000                            ",                                1.53%                            ,                                BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LIMITED                            ,                                  694                            
158,"                                31,861,498                            ",                                3.41%                            ,                                TRAVELSKY TECHNOLOGY LIMITED                            ,                                  696                            
159,"                                86,118,500                            ",                                1.41%                            ,                                TONGDA GROUP HOLDINGS LIMITED                            ,                                  698                            
160,"                                107,910,000                            ",                                4.93%                            ,                                CAR INC.                            ,                                  699                            
161,"                                145,838,481                            ",                                1.53%                            ,                                TENCENT HOLDINGS LIMITED                            ,                                  700                            
162,"                                1,192,000                            ",                                0.07%                            ,                                GIORDANO INTERNATIONAL LIMITED                            ,                                  709                            
163,"                                1,092,000                            ",                                0.00%                            ,                                CHINA OCEANWIDE HOLDINGS LIMITED                            ,                                  715                            
164,"                                19,845,000                            ",                                0.37%                            ,                                TAI UNITED HOLDINGS LIMITED                            ,                                  718                            
165,"                                41,572,000                            ",                                27.71%                            ,                                SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED                            ,                                  719                            
166,"                                532,700,000                            ",                                4.85%                            ,                                CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED                            ,                                  721                            
167,"                                248,623,446                            ",                                1.78%                            ,                                CHINA TELECOM CORPORATION LIMITED                            ,                                  728                            
168,"                                734,230,000                            ",                                3.27%                            ,                                FDG ELECTRIC VEHICLES LIMITED                            ,                                  729                            
169,"                                424,306,000                            ",                                13.58%                            ,                                TRULY INTERNATIONAL HOLDINGS LIMITED                            ,                                  732                            
170,"                                49,940,000                            ",                                4.20%                            ,                                CHINA POWER CLEAN ENERGY DEVELOPMENT COMPANY LIMITED                            ,                                  735                            
171,"                                1,686,000                            ",                                0.05%                            ,                                HOPEWELL HIGHWAY INFRASTRUCTURE LIMITED -HKD TRADED SHARES                            ,                                  737                            
172,"                                128,505,521                            ",                                4.19%                            ,                                SKYWORTH DIGITAL HOLDINGS LIMITED                            ,                                  751                            
173,"                                275,242,640                            ",                                6.02%                            ,                                AIR CHINA LIMITED                            ,                                  753                            
174,"                                27,928,000                            ",                                1.25%                            ,                                HOPSON DEVELOPMENT HOLDINGS LIMITED                            ,                                  754                            
175,"                                189,635,067                            ",                                0.78%                            ,                                CHINA UNICOM (HONG KONG) LIMITED                            ,                                  762                            
176,"                                88,083,787                            ",                                11.65%                            ,                                ZTE CORPORATION                            ,                                  763                            
177,"                                46,284,000                            ",                                0.48%                            ,"                                CK LIFE SCIENCES INT'L., (HOLDINGS) INC.                            ",                                  775                            
178,"                                8,452,511                            ",                                1.57%                            ,                                NETDRAGON WEBSOFT HOLDINGS LIMITED                            ,                                  777                            
179,"                                337,496,000                            ",                                3.94%                            ,                                GLOBAL BRANDS GROUP HOLDING LIMITED                            ,                                  787                            
180,"                                102,629,767                            ",                                7.60%                            ,                                IGG INC                            ,                                  799                            
181,"                                37,868,000                            ",                                2.03%                            ,                                VALUE PARTNERS GROUP LIMITED                            ,                                  806                            
182,"                                37,487,000                            ",                                8.47%                            ,"                                XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD.                            ",                                  811                            
183,"                                10,451,500                            ",                                0.30%                            ,                                SHIMAO PROPERTY HOLDINGS LIMITED                            ,                                  813                            
184,"                                40,280,000                            ",                                1.56%                            ,                                HUADIAN FUXIN ENERGY CORPORATION LIMITED                            ,                                  816                            
185,"                                688,270,000                            ",                                6.44%                            ,                                CHINA JINMAO HOLDINGS GROUP LIMITED                            ,                                  817                            
186,"                                34,116,000                            ",                                3.02%                            ,                                TIANNENG POWER INTERNATIONAL LIMITED                            ,                                  819                            
187,"                                176,874,000                            ",                                5.42%                            ,                                SHENGUAN HOLDINGS (GROUP) LIMITED                            ,                                  829                            
188,"                                32,317,742                            ",                                0.67%                            ,                                CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED                            ,                                  836                            
189,"                                6,644,000                            ",                                0.08%                            ,                                GLORIOUS PROPERTY HOLDINGS LIMITED                            ,                                  845                            
190,"                                5,261,000                            ",                                0.08%                            ,                                MINGFA GROUP (INTERNATIONAL) COMPANY LIMITED                            ,                                  846                            
191,"                                18,678,413                            ",                                1.28%                            ,                                MICROPORT SCIENTIFIC CORPORATION                            ,                                  853                            
192,"                                157,558,000                            ",                                9.84%                            ,                                CHINA WATER AFFAIRS GROUP LIMITED                            ,                                  855                            
193,"                                568,486,771                            ",                                2.69%                            ,                                PETROCHINA COMPANY LIMITED                            ,                                  857                            
194,"                                700,302,900                            ",                                41.74%                            ,                                DIGITAL CHINA HOLDINGS LIMITED                            ,                                  861                            
195,"                                46,765,290                            ",                                1.87%                            ,                                CHINA MEDICAL SYSTEM HOLDINGS LIMITED                            ,                                  867                            
196,"                                41,006,000                            ",                                1.02%                            ,                                XINYI GLASS HOLDINGS LIMITED                            ,                                  868                            
197,"                                63,542,000                            ",                                28.88%                            ,"                                GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS CO., LTD.                            ",                                  874                            
198,"                                184,491,010                            ",                                3.25%                            ,                                SJM HOLDINGS LIMITED                            ,                                  880                            
199,"                                71,767,626                            ",                                3.16%                            ,                                ZHONGSHENG GROUP HOLDINGS LIMITED                            ,                                  881                            
200,"                                62,496,865                            ",                                0.13%                            ,                                CNOOC LIMITED                            ,                                  883                            
201,"                                383,077,605                            ",                                5.07%                            ,                                CIFI HOLDINGS (GROUP) CO. LTD.                            ,                                  884                            
202,"                                6,570,000                            ",                                0.05%                            ,                                RENTIAN TECHNOLOGY HOLDINGS LIMITED                            ,                                  885                            
203,"                                33,694,884                            ",                                16.83%                            ,                                DONGJIANG ENVIRONMENTAL COMPANY LIMITED                            ,                                  895                            
204,"                                629,041,386                            ",                                13.37%                            ,"                                HUANENG POWER INTERNATIONAL, INC.                            ",                                  902                            
205,"                                1,187,107,500                            ",                                6.97%                            ,                                QIANHAI HEALTH HOLDINGS LIMITED                            ,                                  911                            
206,"                                17,259,137                            ",                                1.32%                            ,                                ANHUI CONCH CEMENT COMPANY LIMITED                            ,                                  914                            
207,"                                105,193,000                            ",                                3.14%                            ,                                CHINA LONGYUAN POWER GROUP CORPORATION LIMITED                            ,                                  916                            
208,"                                53,764,000                            ",                                11.69%                            ,                                HISENSE KELON ELECTRICAL HOLDINGS COMPANY LIMITED                            ,                                  921                            
209,"                                110,622,000                            ",                                1.96%                            ,                                CHINA LNG GROUP LIMITED                            ,                                  931                            
210,"                                25,254,000                            ",                                0.24%                            ,                                BRIGHTOIL PETROLEUM (HOLDINGS) LIMITED                            ,                                  933                            
211,"                                117,090,000                            ",                                4.70%                            ,                                SINOPEC KANTONS HOLDINGS LIMITED                            ,                                  934                            
212,"                                9,576,242,488                            ",                                3.98%                            ,                                CHINA CONSTRUCTION BANK CORPORATION                            ,                                  939                            
213,"                                25,722,244                            ",                                0.12%                            ,                                CHINA MOBILE LIMITED                            ,                                  941                            
214,"                                47,697,000                            ",                                4.30%                            ,                                CHAOWEI POWER HOLDINGS LIMITED                            ,                                  951                            
215,"                                388,814,606                            ",                                7.71%                            ,                                HUANENG RENEWABLES CORPORATION LIMITED                            ,                                  958                            
216,"                                171,783,846                            ",                                2.90%                            ,                                LONGFOR PROPERTIES CO. LTD.                            ,                                  960                            
217,"                                325,536,849                            ",                                9.05%                            ,                                CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED                            ,                                  966                            
218,"                                289,000                            ",                                0.01%                            ,                                SOUND GLOBAL LTD.                            ,                                  967                            
219,"                                66,307,662                            ",                                0.88%                            ,                                XINYI SOLAR HOLDINGS LIMITED                            ,                                  968                            
220,"                                91,350,000                            ",                                5.69%                            ,                                CHIHO ENVIRONMENTAL GROUP LIMITED                            ,                                  976                            
221,"                                38,220,000                            ",                                0.77%                            ,                                CHINA MERCHANTS LAND LIMITED                            ,                                  978                            
222,"                                648,368,200                            ",                                13.92%                            ,                                SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION                            ,                                  981                            
223,"                                268,556,000                            ",                                8.09%                            ,"                                DATANG INTERNATIONAL POWER GENERATION CO.,LTD.                            ",                                  991                            
224,"                                203,896,893                            ",                                1.82%                            ,                                LENOVO GROUP LIMITED                            ,                                  992                            
225,"                                45,254,000                            ",                                9.17%                            ,                                ANHUI EXPRESSWAY COMPANY LIMITED                            ,                                  995                            
226,"                                56,732,500                            ",                                0.25%                            ,                                CARNIVAL GROUP INTERNATIONAL HOLDINGS LIMITED                            ,                                  996                            
227,"                                2,734,766,800                            ",                                18.37%                            ,                                CHINA CITIC BANK CORPORATION LIMITED                            ,                                  998                            
228,"                                403,170,000                            ",                                7.12%                            ,                                FUTURE LAND DEVELOPMENT HOLDINGS LIMITED                            ,                                 1030                            
229,"                                1,960,000                            ",                                0.00%                            ,                                KINGSTON FINANCIAL GROUP LIMITED                            ,                                 1031                            
